DOI,Field,Subfield,First_Author_Country,Publication_Day,Publication_Month,Publication_Year,Data_Generated,Data_Section_Text_Generated,Data_Shared,Data_Section_Text_Shared,Data_Location,Data_Sharing_Accessions,Data_Sharing_URLs,Data_Sharing_DOIs,Data_Sharing_Repositories,DAS,Code_Generated,Code_Section_Text_Generated,Code_Shared,Code_Section_Text_Shared,Code_Location,Code_Sharing_URLs,Code_Sharing_Repositories,Preprint_Match,Preprint_DOI,Preprint_Day,Preprint_Month,Preprint_Year,Preprint_URL,Preprint_Server
10.1126/science.aab2661,Environmental Science,Ecology,Sweden,12,9,2024,Yes,Method,Yes,DA,"Supplementary Material,Online","cp076684.1, prjna731154, cp076686.1, samn19272548, samn19272546, samn19272545, cp076685.1, cp076682.1, samn19272547",https://doi.org/10.5061/dryad.xgxd254ps,10.5061/dryad.xgxd254ps,"NCBIBiosample, BioProject, BioSample, NCBIBioproject, DryadDigitalRepository, Genbank",Data and materials availability,Yes,"DA,Method,fulltext",Yes,"MM,DA",Online,https://zenodo.org/records/10809049,NA,Yes,10.1101/2023.12.08.570822,11,12,2023,https://doi.org/10.1101/2023.12.08.570822,bioRxiv
10.1126/science.aav0780,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,United States of America,1,7,2021,Yes,Method,Yes,"Method,DA",Online,NA,https://github.com/bpteague/cytoflow,NA,Github,Data and materials availability,No,NA,Yes,MM,Online,https://github.com/bpteague/cytoflow,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aaw1974,Engineering,Biomedical Engineering,Canada,28,4,2022,Yes,fulltext,No,NA,NA,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aaw9021,Medicine,Oncology,Switzerland,6,1,2022,Yes,fulltext,No,NA,NA,NA,NA,NA,NA,Data and materials availability,Yes,fulltext,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aax2537,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,United States of America,11,2,2021,Yes,fulltext,Yes,DA,Online,prjna670687,NA,NA,"NCBIBioproject, BioProject",Data and materials availability,Yes,"DA,fulltext",No,NA,NA,NA,NA,Yes,10.1101/358622,29,6,2018,https://doi.org/10.1101/358622,bioRxiv
10.1126/science.aax2656,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Israel,28,1,2021,Yes,fulltext,Yes,DA,Online,prjna663046,NA,NA,"NCBIBioproject, BioProject, Sequence Read Archive, SRA",Data and materials availability,Yes,"DA,fulltext",No,NA,NA,NA,NA,Yes,10.1101/2020.05.13.094268,15,5,2020,https://doi.org/10.1101/2020.05.13.094268,bioRxiv
10.1126/science.aax3972,Physics and Astronomy,Astronomy and Astrophysics,Australia,13,5,2021,No,NA,No,NA,NA,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aax5776,Chemical Engineering,Catalysis,China,15,7,2021,Yes,Method,Yes,DA,Online,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aax8819,Immunology and Microbiology,Immunology,United Kingdom,28,1,2021,Yes,fulltext,Yes,DA,Online,gse158835,NA,NA,"GeneExpressionOmnibus, Gene Expression Omnibus",Data and materials availability,Yes,fulltext,No,NA,NA,NA,NA,Yes,10.1101/661397,14,6,2019,https://doi.org/10.1101/661397,bioRxiv
10.1126/science.aax9050,"Pharmacology, Toxicology and Pharmaceutics",Pharmacology,Germany,25,3,2021,Yes,fulltext,Yes,DA,Online,"rmond2011, aakgc010000000, aalha000000000, aalha010000000, mt225528, aakgc000000000",NA,10.6084/m9.figshare.12098304.v1,"Genbank, figshare",Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aay1513,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",China,17,6,2021,Yes,Method,Yes,"Method,fulltext,DA",Online,prjna543996,NA,10.17632/5fn7sm52mr.1,"Genbank, NCBIBioproject, BioProject, MendeleyData",Data and materials availability,Yes,Method,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aay1833,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,United States of America,21,1,2021,Yes,Method,No,NA,NA,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,Yes,10.1101/629576,7,5,2019,https://doi.org/10.1101/629576,bioRxiv
10.1126/science.aay2784,Materials Science,Materials Chemistry,United States of America,5,3,2021,Yes,Method,Yes,"Method,DA",Online,NA,"https://doi.org/10.5061/dryad.3ffbg79h2, https://doi.org/10.5281/zenodo.1175608","10.5061/dryad.3ffbg79h2, 10.5281/zenodo.1175608","DryadDigitalRepository, Zenodo",Data and materials availability,Yes,"DA,Method",Yes,"MM,DA",Online,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aay3253,Physics and Astronomy,Astronomy and Astrophysics,Germany,2,12,2021,No,NA,Yes,"Supplementary,DA","Supplementary Material,Online",NA,NA,NA,NA,Data and materials availability,No,NA,Yes,DA,Online,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aay3325,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Japan,3,2,2022,No,NA,Yes,DA,"Supplementary Material,Online",gse185461,NA,NA,"GeneExpressionOmnibus, Gene Expression Omnibus, GEO",Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aay3446,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,United States of America,25,2,2021,Yes,fulltext,Yes,"fulltext,DA",Online,"idr0101, gse82185, gse112551, gse12355, srr7511358, srr12950073, srr12938556","https://github.com/zchiang/in_situ_genome_sequencing_analysis/, https://github.com/zchiang/in_situ_genome_sequencing_processing/","10.5281/zenodo.4299227, 10.5281/zenodo.4299125","Gene Expression Omnibus, GEO, GeneExpressionOmnibus, NCBISequenceReadArchive, Zenodo, Github, Sequence Read Archive, SRA",Data and materials availability,Yes,DA,Yes,DA,Online,"https://github.com/zchiang/in_situ_genome_sequencing_analysis/, https://github.com/zchiang/in_situ_genome_sequencing_processing/",Zenodo,No,NA,NA,NA,NA,NA,NA
10.1126/science.aay3638,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Germany,7,1,2021,Yes,fulltext,Yes,DA,Online,prjeb43603,NA,NA,"Nucleotide, EuropeanVariationArchive",Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aay4895,Environmental Science,Global and Planetary Change,Netherlands,10,6,2021,Yes,fulltext,No,NA,NA,NA,NA,NA,NA,Data and materials availability,Yes,"DA,fulltext",No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aay5551,Physics and Astronomy,Condensed Matter Physics,Japan,29,7,2021,No,NA,No,NA,NA,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,Yes,10.48550/arxiv.2001.01899,NA,NA,2020,https://arxiv.org/abs/2001.01899,arXiv
10.1126/science.aay5731,Medicine,Infectious Diseases,United States of America,14,1,2021,Yes,Method,Yes,DA,Online,"prjna640597, gse133603",NA,NA,"NCBIBioproject, GEO, GeneExpressionOmnibus, BioProject, Sequence Read Archive",Data and materials availability,Yes,Method,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aay8118,"Biochemistry, Genetics and Molecular Biology",Endocrinology,United States of America,29,4,2021,Yes,fulltext,No,NA,NA,NA,NA,NA,NA,Data and materials availability,Yes,DA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aaz0032,Social Sciences,Anthropology,Switzerland,9,4,2021,Yes,fulltext,Yes,DA,Online,NA,https://osf.io/9k4zm/,NA,OpenScienceFramework,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aaz2185,Environmental Science,Global and Planetary Change,Spain,19,8,2021,Yes,fulltext,Yes,DA,Online,NA,"https://doi.org/10.4211/his-data-shalenetwork, https://doi.org/10.5281/zenodo.4937324, https://knb.ecoinformatics.org/view/doi:10.5063/f1tb14vk","10.4211/his-data-shalenetwork, 10.5063/f1tb14vk, 10.5281/zenodo.4937324","KNBTheKnowledgeNetworkforBiocomplexity, Zenodo",Data and materials availability,Yes,DA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aaz2740,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,United States of America,13,5,2021,Yes,fulltext,Yes,"fulltext,DA",Online,gse136456,NA,NA,"GEO, NCBI Gene, Gene Expression Omnibus, GeneExpressionOmnibus",Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aaz3549,Environmental Science,Nature and Landscape Conservation,United States of America,3,6,2021,No,NA,Yes,DA,Online,NA,"https://github.com/esibert/EarlyMioceneDenticles, https://10.5061/dryad.t1g1jwt0n","10.5061/dryad.t1g1jwt0n, 10.5281/zenodo.4684080","Zenodo, DryadDigitalRepository, Github",Data and materials availability,Yes,DA,Yes,DA,Online,https://github.com/esibert/EarlyMioceneDenticles,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aaz3893,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,United States of America,15,4,2021,Yes,fulltext,No,NA,NA,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aaz4312,Materials Science,"Electronic, Optical and Magnetic Materials",Japan,29,4,2021,Yes,fulltext,Yes,DA,Online,NA,https://doi.org/10.7910/dvn/6x8oyq,10.7910/dvn/6x8oyq,HarvardDataverse,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aaz4544,Immunology and Microbiology,Immunology,Canada,25,3,2021,Yes,Method,No,NA,NA,NA,NA,NA,NA,Data and materials availability,Yes,"Method,fulltext",No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aaz4566,Physics and Astronomy,Condensed Matter Physics,United States of America,6,1,2022,No,NA,No,NA,NA,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aaz5284,Medicine,Surgery,United States of America,27,1,2022,Yes,fulltext,Yes,"fulltext,DA","Supplementary Material,Online",pxd026123,NA,NA,PRIDEArchive,Data and materials availability,Yes,fulltext,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aaz6694,"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,Japan,3,6,2021,No,NA,No,NA,NA,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aaz6964,Medicine,Hepatology,United Kingdom,19,2,2021,No,NA,Yes,"fulltext,DA",Online,e-mtab-8495,NA,NA,ArrayExpress,Data and materials availability,Yes,fulltext,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aaz7015,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,United States of America,23,12,2021,Yes,fulltext,Yes,"fulltext,DA","Supplementary Material,Online","prjna770295, prjna672867, prjna678737",NA,NA,"NCBIBioproject, BioProject, Sequence Read Archive",Data and materials availability,Yes,fulltext,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aaz7555,Earth and Planetary Sciences,Atmospheric Science,Republic of Korea,28,1,2021,No,NA,No,NA,NA,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aaz8658,Immunology and Microbiology,Immunology,United States of America,26,5,2022,Yes,fulltext,No,NA,NA,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aaz8777,Immunology and Microbiology,Immunology,France,24,2,2022,Yes,fulltext,Yes,DA,"Supplementary Material,Online",gse191167,NA,NA,GeneExpressionOmnibus,Data and materials availability,Yes,fulltext,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aaz9146,Materials Science,Materials Chemistry,Japan,1,4,2021,No,NA,No,NA,NA,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aaz9266,Earth and Planetary Sciences,Atmospheric Science,United States of America,25,3,2021,Yes,fulltext,No,NA,NA,NA,NA,NA,NA,Data and materials availability,Yes,DA,Yes,DA,Online,https://github.com/MathisHain/StableSr,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aba0542,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,United States of America,21,1,2021,No,NA,Yes,DA,Online,prjna575066,"https://doi.org/10.5068/d14370, https://doi.org/10.5281/zenodo.4107954, https://doi.org/10.5281/zenodo.4132713, doi.org/10.5281/zenodo.4131787","10.5281/zenodo.4131787, 10.5281/zenodo.4107954, 10.5068/d14370, 10.5281/zenodo.4132713","NCBIBioproject, Zenodo, BioProject",Data and materials availability,Yes,DA,Yes,DA,Online,doi.org/10.5281/zenodo.4131787,Zenodo,Yes,10.1101/829325,5,11,2019,https://doi.org/10.1101/829325,bioRxiv
10.1126/science.aba0862,"Biochemistry, Genetics and Molecular Biology",Genetics,United States of America,19,2,2021,Yes,Method,Yes,DA,Online,prjna665848,https://github.com/ajlopatkin/metabolic-mutant-model,10.5281/zenodo.4323054,"NCBIBioproject, BioProject, Zenodo, Github, Sequence Read Archive",Data and materials availability,Yes,"DA,fulltext",Yes,DA,Online,https://github.com/ajlopatkin/metabolic-mutant-model,Zenodo,No,NA,NA,NA,NA,NA,NA
10.1126/science.aba1111,Physics and Astronomy,Astronomy and Astrophysics,Hungary,25,2,2021,No,NA,Yes,DA,Online,NA,"https://github.com/AndresYague/IodineCurium_project_distributions, https://github.com/AndresYague/IodineCurium_project_oneEvent, https://github.com/AndresYague/Stochastic_RadioNuclides, http://doi.org/10.5281/zenodo.4456126, https://github.com/AndresYague/delta_stat_tau_code/tree/v1.0.0, http://doi.org/10.5281/zenodo.4446099","10.5281/zenodo.3969830, 10.5281/zenodo.4300334, 10.5281/zenodo.4321747, 10.5281/zenodo.4446099, 10.5281/zenodo.4456126, 10.5281/zenodo.3969829","Zenodo, Github",Data and materials availability,Yes,DA,Yes,DA,Online,"https://github.com/AndresYague/IodineCurium_project_distributions, https://github.com/AndresYague/IodineCurium_project_oneEvent, https://github.com/AndresYague/Stochastic_RadioNuclides, https://github.com/AndresYague/delta_stat_tau_code/tree/v1.0.0",Zenodo,No,NA,NA,NA,NA,NA,NA
10.1126/science.aba1624,Medicine,Oncology,United States of America,15,12,2022,Yes,fulltext,No,NA,NA,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aba1786,Medicine,Oncology,United States of America,1,4,2021,Yes,Method,Yes,"Method,DA",Online,gse164950,NA,NA,"Gene Expression Omnibus, GeneExpressionOmnibus",Data and materials availability,Yes,"Method,fulltext",No,NA,NA,NA,NA,Yes,10.1101/2020.01.26.920496,27,1,2020,https://doi.org/10.1101/2020.01.26.920496,bioRxiv
10.1126/science.aba2374,Medicine,Rehabilitation,United States of America,22,4,2021,Yes,fulltext,Yes,DA,Online,NA,https://github.com/shamikmascharak/Mascharak-et-al-ENF,NA,Github,Data and materials availability,Yes,"DA,fulltext",Yes,DA,Online,https://github.com/shamikmascharak/Mascharak-et-al-ENF,NA,Yes,10.1101/2020.12.17.423181,22,12,2020,https://doi.org/10.1101/2020.12.17.423181,bioRxiv
10.1126/science.aba2609,Medicine,Oncology,United States of America,10,6,2021,Yes,Method,Yes,"Method,DA",Online,NA,"https://github.com/AstroPathJHU, https://github.com/AstropathJHU/MaSS, https://github.com/AstropathJHU/mIFTO","10.5281/zenodo.4814836, 10.5281/zenodo.4814053","Github, Zenodo",Data and materials availability,Yes,"DA,Method",Yes,"MM,DA",Online,"https://github.com/AstroPathJHU, https://github.com/AstropathJHU/MaSS, https://github.com/AstropathJHU/mIFTO",NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aba3683,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,United States of America,12,8,2021,Yes,fulltext,No,NA,NA,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aba3996,Environmental Science,Water Science and Technology,Switzerland,11,3,2021,Yes,fulltext,Yes,DA,Online,NA,https://doi.org/10.1594/pangaea.887470,"10.5880/pik.2019.003, 10.1594/pangaea.887470",NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aba4177,Immunology and Microbiology,Immunology,China,25,3,2021,Yes,Method,Yes,"Method,DA",Online,gse165785,NA,NA,"NCBI Gene, Gene Expression Omnibus, GeneExpressionOmnibus",Data and materials availability,Yes,"Method,fulltext",Yes,MM,Online,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aba4220,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,United States of America,13,5,2021,Yes,Method,Yes,"Method,fulltext,DA",Online,gse167919,NA,NA,"GEO, Gene Expression Omnibus, GeneExpressionOmnibus",Data and materials availability,Yes,Method,Yes,MM,Online,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aba4309,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",Italy,18,2,2021,No,NA,Yes,DA,Online,NA,https://doi.org/10.5281/zenodo.4288848,10.5281/zenodo.4288848,Zenodo,Data and materials availability,No,NA,No,NA,NA,NA,NA,Yes,10.48550/arxiv.1912.01910,NA,NA,2019,https://arxiv.org/abs/1912.01910,arXiv
10.1126/science.aba4991,"Biochemistry, Genetics and Molecular Biology",Cancer Research,United States of America,5,8,2021,Yes,fulltext,Yes,DA,Online,gse120207,NA,NA,"GEO, GeneExpressionOmnibus",Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aba5186,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,United States of America,15,10,2021,No,NA,Yes,DA,Online,gse169271,NA,NA,"GeneExpressionOmnibus, Gene Expression Omnibus, GEO",Data and materials availability,No,NA,No,NA,NA,NA,NA,Yes,10.1101/2021.03.25.436872,26,3,2021,https://doi.org/10.1101/2021.03.25.436872,bioRxiv
10.1126/science.aba5211,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",United States of America,15,4,2021,Yes,fulltext,No,NA,NA,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aba5257,"Biochemistry, Genetics and Molecular Biology",Genetics,United States of America,19,2,2021,Yes,Method,Yes,DA,Online,"gsm4594095, gsm4594096, gsm4594094, gse151940",NA,NA,"GEO, Sequence Read Archive, GeneExpressionOmnibus, SRA",Data and materials availability,Yes,Method,No,NA,NA,NA,NA,Yes,10.1101/869248,10,12,2019,https://doi.org/10.1101/869248,bioRxiv
10.1126/science.aba5483,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,United States of America,9,7,2021,Yes,fulltext,Yes,DA,Online,"ebi-ena, erp119849",https://doi.org/10.5281/zenodo.4662081,10.5281/zenodo.4662081,"Zenodo, IntAct, ENAorEBISequenceReadArchive",Data and materials availability,Yes,"DA,fulltext",No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aba5511,Materials Science,Materials Chemistry,United States of America,21,1,2021,Yes,fulltext,Yes,DA,Online,NA,https://doi.org/10.7910/dvn/atp5g5,10.7910/dvn/atp5g5,HarvardDataverse,Data and materials availability,No,NA,No,NA,NA,NA,NA,Yes,10.48550/arxiv.2004.07416,NA,NA,2020,https://arxiv.org/abs/2004.07416,arXiv
10.1126/science.aba5531,Agricultural and Biological Sciences,Plant Science,United Kingdom,23,12,2021,Yes,fulltext,Yes,DA,"Supplementary Material,Online","gse140778, gse142259, gse140977",NA,NA,GeneExpressionOmnibus,Data and materials availability,Yes,fulltext,No,NA,NA,NA,NA,Yes,10.1101/2021.01.18.427084,20,1,2021,https://doi.org/10.1101/2021.01.18.427084,bioRxiv
10.1126/science.aba5545,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,United States of America,22,4,2021,Yes,fulltext,Yes,DA,Online,gse160563,https://github.com/oliviacamel/RIF1_KO_analysis,NA,"GEO, Github, Gene Expression Omnibus, GeneExpressionOmnibus",Data and materials availability,Yes,"DA,fulltext",Yes,DA,Online,https://github.com/oliviacamel/RIF1_KO_analysis,Zenodo,Yes,10.1101/2019.12.28.890020,29,12,2019,https://doi.org/10.1101/2019.12.28.890020,bioRxiv
10.1126/science.aba6500,Medicine,Oncology,United Kingdom,21,1,2021,Yes,fulltext,Yes,"fulltext,DA",Online,"e-mtab-8142, gse121212",http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8142,10.5281/zenodo.4249674,"ArrayExpress, Zenodo, GeneExpressionOmnibus",Data and materials availability,Yes,DA,Yes,DA,Online,NA,Zenodo,No,NA,NA,NA,NA,NA,NA
10.1126/science.aba6990,Medicine,Reproductive Medicine,United States of America,17,6,2021,Yes,fulltext,Yes,DA,Online,NA,"https://doi.org/10.7910/dvn/v8njuv, https://doi.org/10.7910/DVN/V8NJUV",10.7910/dvn/v8njuv,HarvardDataverse,Data and materials availability,Yes,DA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aba7202,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",United States of America,17,6,2021,No,NA,Yes,DA,Online,NA,NA,10.7910/dvn/i2pegz,HarvardDataverse,Data and materials availability,No,NA,No,NA,NA,NA,NA,Yes,10.48550/arxiv.1911.12347,NA,NA,2019,https://arxiv.org/abs/1911.12347,arXiv
10.1126/science.aba7408,"Biochemistry, Genetics and Molecular Biology",Cancer Research,United States of America,12,8,2021,No,NA,Yes,DA,Online,NA,"https://doi.org/10.5281/zenodo.4494404, https://github.com/kharchenkolab/vrnmf, https://github.com/hms-dbmi/spacemut/","10.5281/zenodo.4494404, 10.5281/zenodo.4495386","Zenodo, Github",Data and materials availability,Yes,DA,Yes,DA,Online,"https://doi.org/10.5281/zenodo.4494404, https://github.com/kharchenkolab/vrnmf, https://github.com/hms-dbmi/spacemut/",Zenodo,Yes,10.1101/2020.01.10.893024,12,1,2020,https://doi.org/10.1101/2020.01.10.893024,bioRxiv
10.1126/science.aba7582,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,United States of America,15,4,2021,No,NA,Yes,DA,Online,NA,"https://doi.org/10.5061/dryad.70rxwdbt3, https://github.com/springerlab/Flow-Cytometry-Toolkit",10.5061/dryad.70rxwdbt3,"Github, DryadDigitalRepository",Data and materials availability,Yes,DA,Yes,DA,Online,https://github.com/springerlab/Flow-Cytometry-Toolkit,NA,Yes,10.1101/2020.04.30.071282,1,5,2020,https://doi.org/10.1101/2020.04.30.071282,bioRxiv
10.1126/science.aba8026,Agricultural and Biological Sciences,Food Science,Israel,21,1,2021,Yes,fulltext,Yes,DA,Online,gse139208,NA,NA,"GeneExpressionOmnibus, Gene Expression Omnibus, GEO",Data and materials availability,Yes,fulltext,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aba8310,Immunology and Microbiology,Immunology,United States of America,18,3,2021,Yes,Method,Yes,DA,Online,gse145857,NA,NA,GeneExpressionOmnibus,Data and materials availability,Yes,"Method,fulltext",No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aba8490,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,China,1,4,2021,Yes,"DA,Method",Yes,"Method,DA",Online,"emd-31123, emd-31122, emd-31125, emd-31126, emd-31127, emd-31130, emd-31132, emd-31120, emd-31131, emd-31129, emd-31128, emd-31134, emd-31124, emd-31133, emd-31121",NA,NA,ElectronMicroscopyDataBankEMDB,Data and materials availability,Yes,Method,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aba8767,"Economics, Econometrics and Finance",Economics and Econometrics,China,22,4,2021,Yes,fulltext,Yes,DA,Online,NA,https://github.com/xmxming/China-1.5-degree-research,NA,Github,Data and materials availability,Yes,DA,Yes,DA,Online,https://github.com/xmxming/China-1.5-degree-research,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aba9001,Immunology and Microbiology,Immunology,United States of America,14,1,2021,Yes,fulltext,Yes,DA,Online,gse143432,NA,NA,"GeneExpressionOmnibus, GEO",Data and materials availability,Yes,fulltext,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aba9304,Medicine,Hematology,United States of America,4,11,2021,No,NA,Yes,DA,Online,gse176037,NA,NA,"GeneExpressionOmnibus, GEO",Data and materials availability,Yes,DA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aba9584,"Biochemistry, Genetics and Molecular Biology",Developmental Biology,United States of America,22,10,2021,Yes,fulltext,Yes,DA,Online,NA,NA,10.5281/zenodo.5152173,Zenodo,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.aba9947,Engineering,Biomedical Engineering,Canada,27,5,2021,Yes,fulltext,No,NA,NA,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.abb0272,Physics and Astronomy,Condensed Matter Physics,United States of America,15,7,2021,Yes,fulltext,Yes,DA,Online,NA,https://doi.org/10.5281/zenodo.4924576,10.5281/zenodo.4924576,Zenodo,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.abb0332,Physics and Astronomy,Condensed Matter Physics,Japan,21,4,2022,No,NA,No,NA,NA,NA,NA,NA,NA,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.abb1083,Environmental Science,Ecology,United States of America,22,10,2021,Yes,fulltext,Yes,"Supplementary,DA","Supplementary Material,Online",prjna328102,NA,"10.5061/dryad.sj3tx965k, 10.5281/zenodo.5228182","NCBIBioproject, Zenodo, BioProject, DryadDigitalRepository",Data and materials availability,Yes,DA,No,NA,NA,NA,NA,Yes,10.1101/2021.03.26.437281,28,3,2021,https://doi.org/10.1101/2021.03.26.437281,bioRxiv
10.1126/science.abb1590,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Sweden,15,4,2021,Yes,fulltext,Yes,"fulltext,DA",Online,"pxd011527, gse144436",NA,NA,"Gene Expression Omnibus, GEO, GeneExpressionOmnibus",Data and materials availability,Yes,fulltext,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.abb1625,Medicine,Surgery,United States of America,25,2,2021,Yes,fulltext,Yes,DA,Online,gse162713,NA,NA,GeneExpressionOmnibus,Data and materials availability,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
10.1126/science.abb1723,"Biochemistry, Genetics and Molecular Biology",Genetics,United States of America,14,1,2021,Yes,fulltext,Yes,DA,Online,"prjna667172, phs002279",https://doi.org/10.5281/zenodo.4162383,10.5281/zenodo.4162383,"NCBIBioproject, Zenodo, dbGAP, Sequence Read Archive, SRA",Data and materials availability,Yes,DA,Yes,DA,Online,https://doi.org/10.5281/zenodo.4162383,Zenodo,No,NA,NA,NA,NA,NA,NA
